Date,Open,High,Low,Close,Adj Close,average_sentiment
1/2/2015,532.5999756,535.7999878,527.8800049,529.5499878,529.5499878,0.155139066
1/5/2015,527.1500244,527.9899902,517.75,519.460022,519.460022,0.307564914
1/6/2015,520.5,521.210022,505.5499878,506.6400146,506.6400146,0.302668697
1/7/2015,510.9500122,511.4899902,503.6499939,505.1499939,505.1499939,0.261703955
1/8/2015,501.5100098,507.5,495.019989,506.9100037,506.9100037,0.212185911
1/9/2015,508.1799927,508.6000061,498.6499939,500.7200012,500.7200012,0.174836055
1/12/2015,499.2399902,500.2799988,490.9100037,497.0599976,497.0599976,0.125869316
1/13/2015,502.5700073,508.6000061,497.2600098,501.7999878,501.7999878,0.136833856
1/14/2015,500.4200134,508.2600098,498.1600037,505.9299927,505.9299927,0.073579501
1/15/2015,508.8900146,509.75,502.0100098,504.0100098,504.0100098,0.092009882
1/16/2015,503.1499939,510.8500061,503.0899963,510.4599915,510.4599915,0.079095144
1/20/2015,512.7700195,515.6099854,509.3699951,509.9400024,509.9400024,0.146880252
1/21/2015,510.8399963,521.8499756,509.5899963,520.3900146,520.3900146,0.178732908
1/22/2015,523,538.8400269,521.9099731,537.2999878,537.2999878,0.139146621
1/23/2015,538.0300293,545.4099731,535.75,541.9500122,541.9500122,0.162755853
1/26/2015,541.5,541.5,532.0700073,536.7199707,536.7199707,0.193873114
1/27/2015,531.4000244,532.7800293,520.8599854,521.1900024,521.1900024,0.164774897
1/28/2015,525,525.6900024,512.3499756,512.4299927,512.4299927,0.192088255
1/29/2015,512.9000244,515.1900024,503.480011,513.2299805,513.2299805,0.121923664
1/30/2015,519,543.0999756,518.1799927,537.5499878,537.5499878,0.145758573
2/2/2015,534.3200073,536.5,521.7199707,532.2000122,532.2000122,0.187554388
2/3/2015,529.9400024,537.4500122,526.8099976,533.2999878,533.2999878,0.173466857
2/4/2015,533.1400146,536.75,525.0300293,526.0999756,526.0999756,0.17062612
2/5/2015,527.9299927,530.6900024,525.6400146,529.8300171,529.8300171,0.125651953
2/6/2015,531.0100098,540.2199707,528.6500244,533.8800049,533.8800049,0.168629846
2/9/2015,531.0599976,533.8800049,527.5499878,529.2800293,529.2800293,0.177046823
2/10/2015,532.1500244,541,529.1699829,540.1599731,540.1599731,0.186114868
2/11/2015,539.7299805,541.9500122,536,538,538,0.162928236
2/12/2015,539.6599731,548.3400269,537,546.0100098,546.0100098,0.150401758
2/13/2015,547.5100098,552.539978,546.5999756,551.1599731,551.1599731,0.172060974
2/17/2015,551.1599731,553,543.2600098,545.0100098,545.0100098,0.122914684
2/18/2015,543.8200073,547.5499878,539.5499878,542.6500244,542.6500244,0.17466041
2/19/2015,542.4699707,546.8599854,540.75,546.4500122,546.4500122,0.180351776
2/20/2015,547.5800171,547.5800171,538.0999756,541.7999878,541.7999878,0.147826347
2/23/2015,539,539.2999878,532,535,535,0.151011009
2/24/2015,531.5499878,539.4000244,531,538.6500244,538.6500244,0.113525175
2/25/2015,538.4400024,549.5700073,538.0100098,547.3300171,547.3300171,0.132333454
2/26/2015,545.7399902,560.1300049,545.0900269,559.289978,559.289978,0.084596419
2/27/2015,558.1500244,569.4199829,557.0300293,562.6300049,562.6300049,0.111541343
3/2/2015,567,575.9899902,563.1500244,575.0200195,575.0200195,0.128297488
3/3/2015,576.3499756,580.8499756,570.5,578.789978,578.789978,0.075617552
3/4/2015,576.9699707,581.6300049,572.5200195,578.3300171,578.3300171,0.086400544
3/5/2015,579.6199951,583.2000122,578.2299805,581.4299927,581.4299927,0.100302425
3/6/2015,582,582.7800293,572.0599976,572.9000244,572.9000244,0.11278019
3/9/2015,570.9199829,575.4500122,569.0499878,574.0999756,574.0999756,0.143113617
3/10/2015,568.4799805,569.7600098,559.8200073,559.8499756,559.8499756,0.130306362
3/11/2015,559.7999878,564.1799927,555.4099731,555.6900024,555.6900024,0.109338422
3/12/2015,558.4799805,561.8400269,555.5300293,561.1699829,561.1699829,0.162973874
3/13/2015,559.2299805,564.3599854,550.3300171,553,553,0.176118092
3/16/2015,556.9299927,563.75,551.3200073,561.6400146,561.6400146,0.159810776
3/17/2015,558.289978,560.6400146,554.4099731,557.6099854,557.6099854,0.136895905
3/18/2015,557.7299805,566.5100098,553.5,566.1599731,566.1599731,0.156449489
3/19/2015,564.5200195,566.960022,562.1199951,563.6699829,563.6699829,0.131844371
3/20/2015,566.710022,567.0999756,564.4799805,564.9500122,564.9500122,0.132251349
3/23/2015,566,569.6400146,563.0599976,565.3699951,565.3699951,0.135460892
3/24/2015,568.539978,581.8800049,568.0900269,577.539978,577.539978,0.166453157
3/25/2015,577.5700073,580.0700073,567,567,567,0.148592973
3/26/2015,564.6500244,567.1900024,558.3099976,563.6400146,563.6400146,0.146654239
3/27/2015,561.8300171,564.0700073,556.9299927,557.5499878,557.5499878,0.14079886
3/30/2015,560.25,562.1599731,556.789978,561.1400146,561.1400146,0.179118447
3/31/2015,557.9400024,562.4500122,554.6699829,554.7000122,554.7000122,0.135089606
4/1/2015,554.8300171,558.5,546.0300293,549.4899902,549.4899902,0.146664167
4/2/2015,547.4099731,548,540.4400024,541.3099976,541.3099976,0.134961076
4/6/2015,538.8400269,545.539978,535.7000122,543.9500122,543.9500122,0.12832618
4/7/2015,544.9899902,550.1599731,543.5900269,544.8599854,544.8599854,0.155316532
4/8/2015,546,551.5,546,548.8400269,548.8400269,0.154630714
4/9/2015,549.210022,549.3699951,541.9500122,548.0200195,548.0200195,0.15795838
4/10/2015,549.5700073,549.8499756,544.9799805,548.539978,548.539978,0.135608242
4/13/2015,547.0499878,553.2700195,546.2999878,548.6400146,548.6400146,0.101233816
4/14/2015,546.5700073,546.5700073,535.7399902,539.7800293,539.7800293,0.106966395
4/15/2015,537.960022,543.1900024,532.3699951,541.039978,541.039978,0.077370239
